Date,Close,High,Low,Open,Volume
2015-01-01,189.12538146972656,189.99869740526844,188.22011599157375,188.78458634854343,2963643
2015-01-02,188.62481689453125,190.86135588187943,188.3585707167246,189.16797331601128,7331366
2015-01-05,186.5586853027344,189.7643887395962,186.18592644379615,188.5076641535704,10103941
2015-01-06,178.091796875,185.95161054510965,177.218481085265,185.3126055808231,18627980
2015-01-07,181.96847534179688,182.92699000748544,178.2835287555138,178.30482844947335,20720312
2015-01-08,179.35919189453125,183.8003060577635,178.95448349019216,183.2038861888668,19872227
2015-01-09,183.24647521972656,183.6085842156429,179.98753691273964,180.71174068581888,13392787
2015-01-12,181.11648559570312,183.3956242759867,179.2633692943345,183.28912579063612,10100113
2015-01-13,179.59347534179688,182.1069101404429,179.0290192740664,181.69155191961207,9948711
2015-01-14,177.8468780517578,180.41356237216016,177.0481110582435,179.56154614157887,11380041
2015-01-15,184.0878753662109,185.5469472457592,178.92255673127204,178.92255673127204,16927085
2015-01-16,185.24874877929688,186.37766112485875,181.4892386184792,183.182607136822,19136963
2015-01-19,187.3680877685547,188.72064665412023,182.91632415183332,185.3552099905248,13339962
2015-01-20,192.3523712158203,192.88487777380465,187.1976889657768,187.76215928286896,13361320
2015-01-21,193.14048767089844,194.1309519289865,190.00934718363797,192.76774300724009,17084297
2015-01-22,188.24143981933597,193.23636076478945,187.3361742935064,192.79970277402143,23721627
2015-01-23,188.9123687744141,191.2340922189943,186.8036422628214,189.57267348542948,18080494
2015-01-27,189.37033081054688,190.9998000421227,187.54915011606235,190.1903832404064,17939876
2015-01-28,193.1617889404297,193.7901583875143,188.74197420937347,188.74197420937347,19298126
2015-01-29,197.9650115966797,199.05132448698697,193.17243799972977,193.21503739003552,36117653
2015-01-30,194.95098876953125,198.3590389894597,193.61971537551548,198.09277862315537,21746801
2015-02-02,193.4174041748047,195.9414892154765,192.9168471058212,195.12142249142175,19302710
2015-02-03,199.71163940429688,200.4038937014132,194.51435748660288,194.51435748660288,17092333
2015-02-04,197.8372039794922,201.0322434123996,197.21949863079743,200.0311293505048,14072894
2015-02-05,196.7509002685547,200.2015361911716,195.45157620972603,199.3708338625809,12365643
2015-02-06,193.8114318847656,198.09278379928665,192.34171045561956,196.8360735125005,9045844
2015-02-09,190.9998321533203,195.5367956631928,189.99871793914065,191.95834697274825,8839692
2015-02-10,187.86865234375,192.66121122767632,183.45948793303515,191.27670274801648,13651008
2015-02-11,191.8518218994141,192.71448796110397,188.08166223629144,188.72066728777244,9781008
2015-02-12,193.65167236328125,194.67408604671823,188.98691170994425,193.4067258981105,8709626
2015-02-13,195.4302673339844,196.1331714588112,193.63038630553888,194.68474960215636,7393680
2015-02-16,192.2991180419922,196.8573803411981,191.70269819676588,195.6858545626321,12266698
